source,target,ligand,receptor,prob,pval,interaction_name,interaction_name_2,pathway_name,annotation,evidence
Inflam. TC,LC,MIF,CD74_CD44,0.226349688924942,0.0,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
Inflam. TC,cDC2,MIF,CD74_CD44,0.224795964259751,0.0,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
LC,LC,MIF,CD74_CD44,0.220133561739735,0.0,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
LC,cDC2,MIF,CD74_CD44,0.218610449202493,0.0,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
Inflam. TC,LC,MIF,CD74_CXCR4,0.215371999359271,0.0,MIF_CD74_CXCR4,MIF - (CD74+CXCR4),MIF,Secreted Signaling,PMID: 29637711; PMID: 24760155
LC,LC,MIF,CD74_CXCR4,0.209375757727165,0.0,MIF_CD74_CXCR4,MIF - (CD74+CXCR4),MIF,Secreted Signaling,PMID: 29637711; PMID: 24760155
cDC2,LC,MIF,CD74_CD44,0.201923878563773,0.0,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
cDC2,cDC2,MIF,CD74_CD44,0.20049436809513,0.0,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
Inflam. TC,cDC1,MIF,CD74_CD44,0.199544724261393,0.0,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
Inflam. TC,Inflam. DC,MIF,CD74_CD44,0.196232189891351,0.0,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
LC,cDC1,MIF,CD74_CD44,0.193880250488509,0.0,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
TC,LC,MIF,CD74_CD44,0.192811178775094,0.0,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
CD40LG+ TC,LC,MIF,CD74_CD44,0.191928815583385,0.0,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
cDC2,LC,MIF,CD74_CXCR4,0.191837068408558,0.0,MIF_CD74_CXCR4,MIF - (CD74+CXCR4),MIF,Secreted Signaling,PMID: 29637711; PMID: 24760155
TC,cDC2,MIF,CD74_CD44,0.191430706823227,0.0,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
LC,Inflam. DC,MIF,CD74_CD44,0.190639353780108,0.0,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
CD40LG+ TC,cDC2,MIF,CD74_CD44,0.190553169730801,0.0,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
Inflam. TC,Inflam. DC,MIF,CD74_CXCR4,0.188633792183435,0.0,MIF_CD74_CXCR4,MIF - (CD74+CXCR4),MIF,Secreted Signaling,PMID: 29637711; PMID: 24760155
cDC1,LC,MIF,CD74_CD44,0.188469925379524,0.0,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
NKT,LC,MIF,CD74_CD44,0.187245067848827,0.0,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
cDC1,cDC2,MIF,CD74_CD44,0.187113330437606,0.0,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
