source,target,ligand,receptor,prob,pval,interaction_name,interaction_name_2,pathway_name,annotation,evidence
cDC2,cDC2,MIF,CD74_CD44,0.20049436809513,0.0,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
cDC2,Inflam. DC,MIF,CD74_CD44,0.174324094460034,0.0,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
Inflam. FIB,cDC2,MIF,CD74_CD44,0.171260147987767,0.0,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
cDC2,Inflam. DC,MIF,CD74_CXCR4,0.167397335598734,0.0,MIF_CD74_CXCR4,MIF - (CD74+CXCR4),MIF,Secreted Signaling,PMID: 29637711; PMID: 24760155
Inflam. DC,cDC2,MIF,CD74_CD44,0.14963791789067,0.0,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
APOE+ FIB,cDC2,MIF,CD74_CD44,0.149263794124296,0.0,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
Inflam. FIB,Inflam. DC,MIF,CD74_CD44,0.148198453545546,0.0,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
Inflam. FIB,Inflam. DC,MIF,CD74_CXCR4,0.142131097914324,0.0,MIF_CD74_CXCR4,MIF - (CD74+CXCR4),MIF,Secreted Signaling,PMID: 29637711; PMID: 24760155
Inflam. DC,Inflam. DC,MIF,CD74_CD44,0.129034509121089,0.0,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
APOE+ FIB,Inflam. DC,MIF,CD74_CD44,0.12870410133811,0.0,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
Inflam. DC,Inflam. DC,MIF,CD74_CXCR4,0.123637858076231,0.0,MIF_CD74_CXCR4,MIF - (CD74+CXCR4),MIF,Secreted Signaling,PMID: 29637711; PMID: 24760155
APOE+ FIB,Inflam. DC,MIF,CD74_CXCR4,0.123319312456639,0.0,MIF_CD74_CXCR4,MIF - (CD74+CXCR4),MIF,Secreted Signaling,PMID: 29637711; PMID: 24760155
APOE+ FIB,Inflam. DC,CXCL12,CXCR4,0.0927369624457097,0.0,CXCL12_CXCR4,CXCL12 - CXCR4,CXCL,Secreted Signaling,KEGG: hsa04060
cDC2,cDC2,ANXA1,FPR3,0.0861932981745039,0.0,ANXA1_FPR3,ANXA1 - FPR3,ANNEXIN,Secreted Signaling,PMID: 33082511
