Celltype,Condition,Clusters,PatientID,nFeature,nCount,Rowinds
APOE+ FIB,LS,1,Patient1,2626,3391.4826707411776,8
APOE+ FIB,LS,1,Patient1,2455,3258.0951279815636,13
APOE+ FIB,LS,1,Patient1,1582,2761.7320513779823,19
APOE+ FIB,LS,1,Patient1,1971,2964.2711699280785,22
APOE+ FIB,LS,1,Patient1,1707,2757.5343531955805,23
APOE+ FIB,LS,3,Patient1,1704,2894.2250499590914,26
APOE+ FIB,LS,1,Patient1,1859,2895.9560271602445,30
APOE+ FIB,LS,1,Patient1,1842,3035.1589638990713,33
APOE+ FIB,LS,2,Patient1,1719,2724.3524357132114,36
APOE+ FIB,LS,1,Patient1,1656,2717.1441537281385,38
APOE+ FIB,LS,1,Patient1,2011,2951.641646529226,39
APOE+ FIB,LS,1,Patient1,1901,3097.394807580902,40
APOE+ FIB,LS,1,Patient1,1507,2692.252701113965,42
APOE+ FIB,LS,1,Patient1,1598,2751.814812727624,43
APOE+ FIB,LS,1,Patient1,1363,2517.2140038392513,47
APOE+ FIB,LS,1,Patient1,1485,2543.259546775411,52
APOE+ FIB,LS,1,Patient1,1560,2668.331717064139,54
APOE+ FIB,LS,1,Patient1,1694,2855.885180927119,55
APOE+ FIB,LS,1,Patient1,1213,2321.282192906126,56
APOE+ FIB,LS,2,Patient1,1594,2528.1102641819753,58
APOE+ FIB,LS,1,Patient1,1642,2720.9261848325477,63
APOE+ FIB,LS,1,Patient1,1218,2412.56587960807,64
APOE+ FIB,LS,1,Patient1,1709,2757.883274802417,66
APOE+ FIB,LS,1,Patient1,1435,2651.0814542098115,68
APOE+ FIB,LS,1,Patient1,1388,2575.085976120573,69
APOE+ FIB,LS,1,Patient1,1373,2587.6169845052173,70
APOE+ FIB,LS,1,Patient1,1630,2666.3069652120525,71
APOE+ FIB,LS,1,Patient1,1515,2618.7835177170396,74
APOE+ FIB,LS,1,Patient1,1334,2440.593682506918,75
APOE+ FIB,LS,1,Patient1,1607,2717.065677133491,78
APOE+ FIB,LS,3,Patient1,1612,2864.8633796231716,79
APOE+ FIB,LS,2,Patient1,1339,2513.388909887623,81
APOE+ FIB,LS,1,Patient1,1387,2421.816120991584,82
APOE+ FIB,LS,1,Patient1,1438,2542.350456525281,83
APOE+ FIB,LS,1,Patient1,1428,2585.1426935594536,84
APOE+ FIB,LS,3,Patient1,1107,2189.1111788448547,85
APOE+ FIB,LS,1,Patient1,1218,2396.841360863961,86
APOE+ FIB,LS,1,Patient1,1363,2428.7155622229366,89
APOE+ FIB,LS,3,Patient1,1255,2472.7549578869525,94
APOE+ FIB,LS,1,Patient1,1488,2652.638728792409,95
APOE+ FIB,LS,1,Patient1,1441,2700.9102230852477,97
APOE+ FIB,LS,1,Patient1,1423,2515.6834199983705,99
APOE+ FIB,LS,1,Patient1,1160,2333.7035083602927,100
APOE+ FIB,LS,1,Patient1,1448,2544.373895379349,101
APOE+ FIB,LS,2,Patient1,1385,2460.345115796966,102
APOE+ FIB,LS,1,Patient1,1221,2271.7690172102266,103
APOE+ FIB,LS,2,Patient1,889,2069.1423210159433,104
APOE+ FIB,LS,1,Patient1,1391,2561.3907366566823,108
APOE+ FIB,LS,1,Patient1,984,2142.404179445226,109
APOE+ FIB,LS,2,Patient1,1447,2561.244529807512,110
APOE+ FIB,LS,1,Patient1,1286,2426.510393922381,113
APOE+ FIB,LS,1,Patient1,1239,2427.9752659826063,114
APOE+ FIB,LS,1,Patient1,1479,2642.771701826006,116
APOE+ FIB,LS,1,Patient1,1399,2572.9048020255104,117
APOE+ FIB,LS,1,Patient1,1535,2624.96700536412,119
APOE+ FIB,LS,1,Patient1,1361,2479.261902302454,121
APOE+ FIB,LS,1,Patient1,1129,2261.9573743564088,123
APOE+ FIB,LS,1,Patient1,1157,2306.3380143747563,125
APOE+ FIB,LS,1,Patient1,1053,2225.1667924058224,127
APOE+ FIB,LS,1,Patient1,903,2037.3057572968428,128
APOE+ FIB,LS,1,Patient1,1335,2483.095478371641,129
APOE+ FIB,LS,1,Patient1,1140,2282.9456579107386,130
APOE+ FIB,LS,1,Patient1,1077,2248.077433115755,131
APOE+ FIB,LS,1,Patient1,1229,2438.8043816195122,132
APOE+ FIB,LS,1,Patient1,1257,2462.9361457252094,134
APOE+ FIB,LS,1,Patient1,1200,2398.267818117523,135
APOE+ FIB,LS,1,Patient1,1362,2547.2453093067616,136
APOE+ FIB,LS,1,Patient1,1155,2319.7526199256536,137
APOE+ FIB,LS,1,Patient1,814,1932.720282452629,138
APOE+ FIB,LS,1,Patient1,1232,2453.052201227197,139
APOE+ FIB,LS,1,Patient1,1249,2408.2125874502653,143
APOE+ FIB,LS,2,Patient1,1319,2618.605612319028,147
APOE+ FIB,LS,1,Patient1,1067,2208.6717099026687,148
APOE+ FIB,LS,1,Patient1,1188,2308.1515059511985,149
APOE+ FIB,LS,1,Patient1,1219,2412.6643276782966,150
APOE+ FIB,LS,1,Patient1,1159,2329.1760439824393,151
APOE+ FIB,LS,1,Patient1,973,2129.277763537033,153
APOE+ FIB,LS,1,Patient1,1263,2495.3145261913337,155
APOE+ FIB,LS,1,Patient1,1145,2311.0480950146152,156
APOE+ FIB,LS,1,Patient1,1161,2335.612153634175,158
APOE+ FIB,LS,1,Patient1,999,2137.2356812336193,161
APOE+ FIB,LS,1,Patient1,1043,2196.9270220300264,162
APOE+ FIB,LS,1,Patient1,1025,2160.727785168137,165
APOE+ FIB,LS,2,Patient1,899,1982.7711534923342,166
APOE+ FIB,LS,1,Patient1,1122,2298.484126888978,168
APOE+ FIB,LS,1,Patient1,1266,2431.817604233701,170
APOE+ FIB,LS,1,Patient1,1015,2137.1120534494216,173
APOE+ FIB,LS,1,Patient1,1173,2302.2418091549935,174
APOE+ FIB,LS,1,Patient1,880,1992.1210625617377,176
APOE+ FIB,LS,1,Patient1,1085,2229.6055081216305,177
APOE+ FIB,LS,2,Patient1,889,2013.512783792943,178
APOE+ FIB,LS,1,Patient1,1242,2511.5588608263897,179
APOE+ FIB,LS,1,Patient1,779,1880.1240972963403,180
APOE+ FIB,LS,1,Patient1,1075,2325.638984645897,181
APOE+ FIB,LS,1,Patient1,1120,2201.88731045772,184
APOE+ FIB,LS,1,Patient1,870,2004.5308808714321,188
APOE+ FIB,LS,1,Patient1,1121,2248.1644900641586,190
APOE+ FIB,LS,1,Patient1,1117,2183.0799179909923,191
APOE+ FIB,LS,1,Patient1,1170,2391.0020930046508,192
APOE+ FIB,LS,1,Patient1,884,1978.4382155959104,193
APOE+ FIB,LS,1,Patient1,876,1945.5745399130058,194
APOE+ FIB,LS,1,Patient1,1062,2296.0896487313353,196
APOE+ FIB,LS,1,Patient1,1109,2266.7632833346634,199
APOE+ FIB,LS,1,Patient1,1269,2377.0167647503645,200
APOE+ FIB,LS,1,Patient1,963,2122.2229185211672,201
APOE+ FIB,LS,1,Patient1,1051,2221.996436836843,202
APOE+ FIB,LS,1,Patient1,872,1968.8220141150823,204
APOE+ FIB,LS,2,Patient1,883,2020.751827203221,206
APOE+ FIB,LS,2,Patient1,845,1876.0319410634597,207
APOE+ FIB,LS,1,Patient1,848,2002.2647785290449,213
APOE+ FIB,LS,1,Patient1,875,2006.683105928679,214
APOE+ FIB,LS,1,Patient1,1033,2149.2047831816712,215
APOE+ FIB,LS,1,Patient1,919,2011.4080710087405,216
APOE+ FIB,LS,1,Patient1,1077,2272.7755397994797,217
APOE+ FIB,LS,2,Patient1,931,2035.4974267552466,218
APOE+ FIB,LS,1,Patient1,1050,2218.282645105074,219
APOE+ FIB,LS,1,Patient1,976,2158.0902177512744,220
APOE+ FIB,LS,1,Patient1,1034,2151.0123990089114,222
APOE+ FIB,LS,1,Patient1,1066,2175.471389268462,224
APOE+ FIB,LS,1,Patient1,1166,2323.968201894537,226
APOE+ FIB,LS,1,Patient1,848,1991.1642124879234,228
APOE+ FIB,LS,1,Patient1,990,2164.6411770069776,231
APOE+ FIB,LS,1,Patient1,1086,2209.69055784155,233
APOE+ FIB,LS,1,Patient1,1174,2379.750200349006,235
APOE+ FIB,LS,1,Patient1,1082,2234.3157652668797,237
APOE+ FIB,LS,1,Patient1,862,2008.5531067022023,239
APOE+ FIB,LS,1,Patient1,743,1856.6519621075545,240
APOE+ FIB,LS,1,Patient1,827,1886.7276623971968,241
APOE+ FIB,LS,1,Patient1,1002,2075.9982194025915,243
APOE+ FIB,LS,1,Patient1,895,2034.117647367893,245
APOE+ FIB,LS,1,Patient1,1043,2212.68630458534,248
APOE+ FIB,LS,1,Patient1,856,1899.174887025142,250
APOE+ FIB,LS,1,Patient1,802,1866.9275452572633,252
APOE+ FIB,LS,1,Patient1,1080,2195.2445968515317,254
APOE+ FIB,LS,1,Patient1,917,2044.9707926658914,256
APOE+ FIB,LS,1,Patient1,1092,2256.5203138681845,257
APOE+ FIB,LS,1,Patient1,947,2020.0259430691042,259
APOE+ FIB,LS,1,Patient1,800,1872.799486021907,260
APOE+ FIB,LS,2,Patient1,976,2126.3048194023463,261
APOE+ FIB,LS,1,Patient1,1139,2360.4211151614636,262
APOE+ FIB,LS,1,Patient1,887,2011.190890038859,264
APOE+ FIB,LS,1,Patient1,849,1945.9889011953478,265
APOE+ FIB,LS,1,Patient1,1042,2176.448927145541,266
APOE+ FIB,LS,1,Patient1,731,1865.2809858788112,268
APOE+ FIB,LS,1,Patient1,957,2107.1992470486625,269
APOE+ FIB,LS,1,Patient1,592,1626.5626680268879,270
APOE+ FIB,LS,1,Patient1,758,1841.33061954061,271
APOE+ FIB,LS,1,Patient1,986,2117.0182063798097,273
APOE+ FIB,LS,1,Patient1,1095,2299.9927834634314,275
APOE+ FIB,LS,1,Patient1,861,2000.8469343720608,276
