Source,Target
1,1950
2,1842
3,1827
4,2064
5,1795
6,1973
7,1899
8,1919
9,1799
10,2048
11,1880
12,1856
13,1981
14,2050
15,2006
16,2052
17,2075
18,1989
19,1866
20,2053
21,2048
22,1911
23,1930
24,1895
25,1967
26,1995
27,1901
28,1888
29,2085
30,1931
31,1988
32,1959
33,1949
34,1926
35,1933
36,1919
37,1897
38,2018
39,1895
40,1815
41,1821
42,2025
43,2047
44,2077
45,1999
46,2001
47,1871
48,1825
49,2025
50,2020
51,1818
52,1866
53,1855
54,2007
55,2074
56,1824
57,1847
58,1844
59,1955
60,1888
61,2022
62,1977
63,1955
64,1876
65,1906
66,1963
67,1909
68,2055
69,1796
70,1944
71,1913
72,2005
73,1961
74,1894
75,2086
76,1939
77,1825
78,1826
79,2044
80,1943
81,2014
82,1896
83,1864
84,1959
85,1933
86,1967
87,2076
88,2010
89,1991
90,1996
91,2047
92,1973
93,1829
94,1887
95,1987
96,1852
97,2064
98,1816
99,2017
100,1839
101,1876
102,1938
103,1957
104,1938
105,1813
106,2014
107,1953
108,1900
109,1813
110,2048
111,2062
112,1802
113,2086
114,1826
115,2072
116,1960
117,1979
118,2080
119,1988
120,2005
121,2052
122,2056
123,2030
124,1881
125,1995
126,1829
127,2011
128,1865
129,1955
130,1834
131,2004
132,1973
133,1857
134,1936
135,2047
136,1943
137,2007
138,1922
139,1883
140,1817
141,2018
142,1915
143,1845
144,1998
145,2006
146,1918
147,1976
148,1957
149,1978
150,2071
151,1905
152,2004
153,2045
154,1826
155,1854
156,1976
157,1967
158,2060
159,1921
160,2020
161,2064
162,1835
163,1944
164,1810
165,2003
166,1815
167,1979
168,1874
169,1825
170,1855
171,1835
172,2061
173,1992
174,1812
175,1884
176,2085
177,1952
178,1993
179,2052
180,2071
181,1849
182,1813
183,1806
184,1905
185,1902
186,2058
187,2074
188,2063
189,1796
190,2002
191,1911
192,2028
193,1912
194,1872
195,2012
196,1902
197,1959
198,1828
199,1873
200,1795
201,1953
202,1851
203,1967
204,1979
205,2054
206,2080
207,1808
208,1811
209,1807
210,1972
211,2065
212,1911
213,2050
214,1823
215,2025
216,1968
217,1977
218,2055
219,2026
220,1958
221,1990
222,1913
223,1828
224,1997
225,1872
226,2008
227,1838
228,1796
229,1818
230,1979
231,2083
232,1947
233,2003
234,2050
235,2048
236,1826
237,2062
238,1922
239,2057
240,2003
241,1833
242,1868
243,1826
244,2029
245,2072
246,1901
247,1798
248,1886
249,1893
250,2069
251,1845
252,2027
253,1912
254,2025
255,1825
256,1865
257,2071
258,1832
259,1967
260,2054
261,2012
262,1932
263,1820
264,2065
265,1937
266,1820
267,1969
268,2058
269,1973
270,2044
271,1938
272,1917
273,1805
274,1905
275,2031
276,2084
277,1946
278,1950
279,2050
280,1828
281,2032
282,1794
283,1822
284,1806
285,2076
286,2014
287,1861
288,1968
289,1834
290,1914
291,1867
292,1976
293,1799
294,1939
295,2058
296,2061
297,1803
298,1979
299,1993
300,1878
301,1915
302,1897
303,1972
304,1983
305,2059
306,1859
307,2081
308,2004
309,2040
310,1932
311,1928
312,1992
313,1869
314,1892
315,2010
316,1833
317,2024
318,1972
319,2042
320,2028
321,1823
322,1941
323,1904
324,1794
325,1888
326,1996
327,1999
328,1887
329,1842
330,1819
331,1949
332,2081
333,1939
334,1887
335,1906
336,1885
337,1891
338,2084
339,1826
340,1982
341,1832
342,1965
343,2034
344,1862
345,1991
346,1965
347,1963
348,1959
349,1959
350,1834
351,2038
352,1873
353,1919
354,1850
355,2079
356,1905
357,2069
358,1920
359,2084
360,1851
361,1845
362,1864
363,1941
364,2026
365,2071
366,1828
367,1879
368,2040
369,1864
370,1923
371,1813
372,1813
373,2050
374,1888
375,1886
376,1924
377,1977
378,1994
379,2074
380,1895
381,1906
382,2017
383,1803
384,1937
385,1885
386,1826
387,1821
388,1884
389,2001
390,2036
391,1886
392,1964
393,1868
394,2026
395,1889
396,2013
397,1919
398,2003
399,2084
400,1945
401,1966
402,1916
403,1951
404,1850
405,2040
406,1800
407,2052
408,2058
409,2057
410,1866
411,2061
412,1963
413,1953
414,1972
415,1936
416,1807
417,1940
418,2000
419,1990
420,2047
421,1852
422,1802
423,1938
424,2077
425,1989
426,2023
427,1866
428,1944
429,2081
430,2010
431,1865
432,1900
433,2044
434,2074
435,1888
436,1968
437,1927
438,1994
439,1843
440,1901
441,1882
442,2030
443,1813
444,1978
445,1817
